Numero;Date;Type;Nombre;Montant;Cours;Nom;YahooName;Remarques
212;2020-11-03 00:00:00;Achat;18;501.81;27.87833333;TOTAL;;
213;2020-11-03 00:00:00;Virement;;1000;;;;
214;2020-11-30 00:00:00;Solde;;514.55;;;;
215;2020-12-04 00:00:00;Achat;4;502.69;125.6725;SAFRAN;;
216;2020-12-09 00:00:00;Coupons;120;48;0.4;ORANGE;;
217;2020-12-21 00:00:00;Coupons;45;1.31;0.029111111;STMICROELECTRONICS;;
218;2020-12-31 00:00:00;Solde;;61.17;;;;
219;2021-01-07 00:00:00;Virement;;450;;;;
220;2021-01-12 00:00:00;Coupons;51;33.66;0.66;TOTAL;;
221;2021-01-21 00:00:00;Coupons;1;2.5;2.5;KERING;;
222;2021-01-26 00:00:00;Achat;5;426.96;85.392;UBISOFT;;
223;2021-01-31 00:00:00;Solde;;120.37;;;;
224;2021-02-08 00:00:00;Coupons;52;3.48;0.066923077;STELLANTIS;;
225;2021-02-16 00:00:00;Virement;;100;;;;
226;2021-02-26 00:00:00;Vente127;6;339.22;56.53666667;DANONE;;
227;2021-02-28 00:00:00;Solde;;563.07;;;;
228;2021-03-22 00:00:00;Coupons;52;5.03;0.096730769;STELLANTIS;;
229;2021-03-23 00:00:00;Coupons;13;3.05;0.234615385;NEOEN;;
230;2021-03-23 00:00:00;Achat;3;84;28;NEOEN;;
231;2021-03-29 00:00:00;Coupons;45;1.36;0.030222222;STMICROELECTRONICS;;
232;2021-03-30 00:00:00;Achat;5;488.49;97.698;AIRBUS;;
233;2021-03-30 00:00:00;Virement;;410;;;;
234;2021-03-31 00:00:00;Solde;;410.02;;;;
235;2021-04-02 00:00:00;Coupons;51;33.66;0.66;TOTAL;;
236;2021-04-22 00:00:00;Coupons;11;22.44;2.04;VINCI;;
237;2021-04-27 00:00:00;Achat;1500;460.99;0.307326667;EUROPCAR;EUCAR.PA;
238;2021-04-28 00:00:00;Coupons;52;16.64;0.32;STELLANTIS;;
